account_id,Rank,Funding_Score,Risk_Level,Profit_Level,Funding_Profit_USD,Trading_PnL_USD,Total_Profit_USD,Risk_Reward_Ratio,해석
A_cf3fcea289,1,3.1631509027812914,High,Very High,65875.02669988754,213433.66838478998,279308.69508467754,88300.75306819359,고위험·고수익형 (펀딩비 차익거래 성공)
A_d444580218,2,2.0047522846573678,High,High,9113.596183458776,28851.14639044,37964.74257389878,18937.363946201156,고위험·고수익형 (펀딩비 차익거래 성공)
A_89cf7b96c2,3,1.818427734047359,High,Medium,1413.044091174484,2573.0580033999786,3986.1020945744626,2192.0584623090595,고위험·중간수익형 (펀딩비 차익거래 시도)
A_f96ede8d34,4,1.67574442056407,High,High,13854.38285417473,42000.47517109007,55854.858025264795,33331.35053799734,고위험·고수익형 (펀딩비 차익거래 성공)
A_0e72128b0d,5,1.3116981303073225,High,Very High,35544.08660132392,214393.11364089986,249937.20024222377,190544.61077798012,고위험·고수익형 (펀딩비 차익거래 성공)
A_2db64f326b,6,1.1715246227969516,High,Very High,23826.019424414484,151836.28813929978,175662.30756371428,149943.20580400998,고위험·고수익형 (펀딩비 차익거래 성공)
A_cab220ef3c,7,0.9003604679886158,Medium,Very High,181407.1271670079,34262459.40636248,34443866.53352949,38255598.17711457,중위험·고수익형 (효율적 거래 또는 은밀형 조작)
A_ae270b7bf6,8,0.7416202979028125,Medium,High,5741.746839372614,69936.52429270008,75678.2711320727,102044.36057335307,중위험·고수익형 (효율적 거래 또는 은밀형 조작)
A_40cfe40ac2,9,0.4727886911049429,Medium,High,77.87133785411396,5549.7223906,5627.593728454114,11902.953542201883,중위험·고수익형 (효율적 거래 또는 은밀형 조작)
A_1f97e16953,10,0.4333998405993898,Medium,High,1390.5890326135057,65352.59278939997,66743.18182201347,153998.7364346322,중위험·고수익형 (효율적 거래 또는 은밀형 조작)
A_7e27164ab6,11,0.42197973579701387,Medium,Very High,47033.32331911381,744273.9819678003,791307.3052869141,1875221.3979444741,중위험·고수익형 (효율적 거래 또는 은밀형 조작)
A_33849d660b,12,0.37167253376154014,Medium,High,2215.4803028103297,78971.88206560006,81187.3623684104,218437.29777245567,중위험·고수익형 (효율적 거래 또는 은밀형 조작)
A_26ffea8fd9,13,0.24323218945056546,Medium,Very High,12503.071790464921,372253.82586130005,384756.897651765,1581843.738187558,중위험·고수익형 (효율적 거래 또는 은밀형 조작)
A_8413984c30,14,0.17510077927064738,Medium,Very High,964.7759433383984,265315.36094799987,266280.1368913383,1520716.3399508372,중위험·고수익형 (효율적 거래 또는 은밀형 조작)
A_9366ce5043,15,0.09404805189648903,Medium,Low,11.886136587812185,358.1904155900001,370.0765521778123,3934.931237638853,중위험·저수익형 (일반 거래)
A_ebdb869fd3,16,0.09339408102770455,Medium,Low,2.9212963674409735,223.63335141999997,226.55464778744096,2425.766381852982,중위험·저수익형 (일반 거래)
A_60a63690ae,17,0.0035086680810144655,Medium,Low,59.90619314911153,924.33818380181,984.2443769509216,280438.02269370924,중위험·저수익형 (일반 거래)
A_6b3a8b213d,18,-0.023915181861648857,Low,Medium,0.0,2392.7516738000086,2392.7516738000086,100047.39417193262,저위험·일반형 (정상 거래)
A_8860be39b3,19,-0.028610397008617144,Low,Very High,767.2300196344529,255239.5523979004,256006.78241753485,8947720.460501494,저위험·고수익형 (정상 거래 우수 성과)
A_0bfb0b4311,20,-0.041810844340686076,Low,Very High,3767.7387189180054,82700.83960170003,86468.57832061803,2068040.281028158,저위험·고수익형 (정상 거래 우수 성과)
A_7ba723a337,21,-0.12483897375823055,Low,Low,58.446516730681786,684.1096319999994,742.5561487306811,5948.063960416567,저위험·일반형 (정상 거래)
A_359a23d0bd,22,-0.13797622435345228,Low,High,471.8956712437298,25383.1594709,25855.055142143727,187386.39846755852,저위험·고수익형 (정상 거래 우수 성과)
A_7620582c70,23,-0.13985495213615626,Low,Low,0.0,108.94439970000303,108.94439970000303,778.9757821243146,저위험·일반형 (정상 거래)
A_b2bc71e131,24,-0.1837677825140247,Low,High,120.84801369364138,7942.483500300014,8063.331513993656,43877.59119739658,저위험·고수익형 (정상 거래 우수 성과)
A_853f70d58b,25,-0.19145809648953654,Low,Low,0.8438673427021843,1320.2159361999898,1321.059803542692,6899.9584128659535,저위험·일반형 (정상 거래)
A_3943c4c480,26,-0.20007751829522563,Low,Medium,12.191386513360005,2852.1295178,2864.32090431336,14315.984188202126,저위험·일반형 (정상 거래)
A_48fbd03d61,27,-0.2025744709676067,Low,Medium,61.968324806240325,4534.869337199978,4596.837662006218,22691.975687131864,저위험·일반형 (정상 거래)
A_c462ca9c6b,28,-0.2145067772074533,Low,Very High,3040.6460403428814,302120.000332,305160.6463723429,1422608.7759849287,저위험·고수익형 (정상 거래 우수 성과)
A_f2ab53d645,29,-0.2218275625915112,Low,Very High,8652.38558677231,357249.28381129977,365901.66939807206,1649479.5130231536,저위험·고수익형 (정상 거래 우수 성과)
A_ef035876f1,30,-0.23538603605196257,Low,Low,5.692849292987885,146.37707830000025,152.06992759298814,646.0420681766778,저위험·일반형 (정상 거래)
A_1b6957bd93,31,-0.24249428191506406,Low,High,53.28423348841872,13820.547045700045,13873.831279188464,57212.788511274564,저위험·고수익형 (정상 거래 우수 성과)
A_522c68dd44,32,-0.24308901311311237,Low,High,406.9858009874737,29458.640221500013,29865.626022487486,122858.30108779784,저위험·고수익형 (정상 거래 우수 성과)
A_e95b2c5030,33,-0.24950326769613757,Low,High,0.0,4754.965024099971,4754.965024099971,19057.65006749654,저위험·고수익형 (정상 거래 우수 성과)
A_e8e9d04acc,34,-0.2613674520073923,Low,Medium,28.33269686134533,3870.5665971999983,3898.899294061344,14917.25288234508,저위험·일반형 (정상 거래)
A_3cfd9478f0,35,-0.2806620577168012,Low,Low,0.1392581942718815,11.612608200000103,11.751866394271985,41.87179634496118,저위험·일반형 (정상 거래)
A_4081f88bb0,36,-0.2989311036024545,Low,Very High,3584.473615728032,494752.70096408,498337.174579808,1667058.066277617,저위험·고수익형 (정상 거래 우수 성과)
A_9a5e1e7fac,37,-0.3010708942932649,Low,Low,10.83926086403983,541.5221869999997,552.3614478640395,1834.6496578853728,저위험·일반형 (정상 거래)
A_0ad0445c5a,38,-0.30309663594232555,Low,High,250.45376084108892,19084.074357000023,19334.528117841113,63789.768790938884,저위험·고수익형 (정상 거래 우수 성과)
A_dae7cf0dd9,39,-0.3132195844138734,Low,Low,4.794792841059666,177.4710499999996,182.26584284105925,581.9088907650548,저위험·일반형 (정상 거래)
A_507a86d368,40,-0.3214886019873049,Low,Very High,1254.3067575274395,89286.15020000003,90540.45695752747,281627.9481446581,저위험·고수익형 (정상 거래 우수 성과)
A_3b4f58349f,41,-0.3238529980942703,Low,Medium,0.7112428182478759,1581.5527664999954,1582.2640093182433,4885.732517211858,저위험·일반형 (정상 거래)
A_06d5bd3da9,42,-0.33330331982742845,Low,High,108.14214983274941,8589.897321900004,8698.039471732753,26096.389858482027,저위험·고수익형 (정상 거래 우수 성과)
A_27fd29fd55,43,-0.38110803067790305,Low,Low,0.7281604557748554,383.5833146999976,384.3114751557724,1008.4029614102111,저위험·일반형 (정상 거래)
A_64a414bc30,44,-0.38921292129681373,Low,Medium,31.753899932074738,3056.482667,3088.2365669320748,7934.548067146325,저위험·일반형 (정상 거래)
A_2ba62f7b20,45,-0.3993659107224155,Low,Medium,16.087833881854003,3230.917969100003,3247.005802981857,8130.38265265478,저위험·일반형 (정상 거래)
A_946b028740,46,-0.4055447711316081,Low,Low,0.34486128830660584,32.340354,32.6852152883066,80.59562598101797,저위험·일반형 (정상 거래)
A_c668740478,47,-0.4108623100225771,Low,High,71.85254798433795,24049.635444700012,24121.48799268435,58709.27728094987,저위험·고수익형 (정상 거래 우수 성과)
A_6960c2ee08,48,-0.4125194832596022,Low,High,55.75846341218345,4947.2187502000015,5002.977213612185,12127.827384667768,저위험·고수익형 (정상 거래 우수 성과)
A_e7205c325a,49,-0.4131600544288863,Low,Very High,266.3742888696143,1438553.5356955002,1438819.9099843698,3482467.416909018,저위험·고수익형 (정상 거래 우수 성과)
A_55021b4ae2,50,-0.4208553076366501,Low,Medium,0.2989576879389116,1515.2687499999981,1515.567707687937,3601.1524128002748,저위험·일반형 (정상 거래)
A_c91db6cabf,51,-0.4282279450158807,Low,Medium,0.2543541875,1483.1137299999987,1483.3680841874987,3463.960345166506,저위험·일반형 (정상 거래)
A_59b90616d6,52,-0.4317383139587576,Low,High,15.692733604261196,4632.409416800015,4648.102150404276,10765.992347984995,저위험·고수익형 (정상 거래 우수 성과)
A_5cd5d675fd,53,-0.43266179901219837,Low,Low,0.825273780245378,470.87202209999964,471.697295880245,1090.2192121836345,저위험·일반형 (정상 거래)
A_9788666227,54,-0.4443957508774705,Low,Very High,178.0823200774587,93027.26743329996,93205.34975337742,209734.54366923598,저위험·고수익형 (정상 거래 우수 성과)
A_1a7c006b71,55,-0.4528351295938192,Low,Medium,20.97046195335593,3772.718138000006,3793.688599953362,8377.619081225233,저위험·일반형 (정상 거래)
A_3cab2969e5,56,-0.45411400263829277,Low,Low,0.1110467194811703,63.10412089999965,63.21516761948082,139.20519527480212,저위험·일반형 (정상 거래)
A_68f6513965,57,-0.45489679412108613,Low,Medium,7.87759100414822,1432.9667039999988,1440.844295004147,3167.4022464497125,저위험·일반형 (정상 거래)
A_ace0a74506,58,-0.46164785201952296,Low,Medium,10.913395781965429,3725.8928380000116,3736.806233781977,8094.4774744592,저위험·일반형 (정상 거래)
A_dcd87c6c96,59,-0.47117829686611845,Low,Very High,133.0645383120884,1836779.2412395002,1836912.3057778124,3898542.0581833315,저위험·고수익형 (정상 거래 우수 성과)
A_e27beda014,60,-0.47526794439223624,Low,Medium,0.3668231439314059,1916.182052799994,1916.5488759439254,4032.5565104927427,저위험·일반형 (정상 거래)
A_78e950c1a2,61,-0.4826015429698355,Low,Low,0.3535235145708195,537.9365831000013,538.2901066145721,1115.390116475655,저위험·일반형 (정상 거래)
A_4943ad62b4,62,-0.487766047863845,Low,Medium,3.359696454206338,2222.4509210000097,2225.810617454216,4563.265655607649,저위험·일반형 (정상 거래)
A_94cf7bdada,63,-0.5544857936500902,Low,Low,0.0932579940309202,151.07232479999868,151.1655827940296,272.62251242979625,저위험·일반형 (정상 거래)
