account_id,final_risk,pattern1_risk,pattern2_risk,pattern3_risk,total_profit_usd,reviewed,detection_time,alert_message
A_1f97e16953,CRITICAL,HIGH,HIGH,NO_REWARD,66743.18182201347,False,2025-10-31 20:00:38.588185,"계정 A_1f97e16953: CRITICAL 리스크 탐지 (P1:HIGH, P2:HIGH, P3:NO_REWARD)"
A_e7205c325a,CRITICAL,NORMAL,HIGH,HIGH,1438819.9099843698,False,2025-10-31 20:00:38.588185,"계정 A_e7205c325a: CRITICAL 리스크 탐지 (P1:NORMAL, P2:HIGH, P3:HIGH)"
A_dcd87c6c96,CRITICAL,NORMAL,HIGH,HIGH,1836912.3057778124,False,2025-10-31 20:00:38.588185,"계정 A_dcd87c6c96: CRITICAL 리스크 탐지 (P1:NORMAL, P2:HIGH, P3:HIGH)"
A_d444580218,CRITICAL,HIGH,SUSPICIOUS,HIGH,37964.74257389878,False,2025-10-31 20:00:38.588185,"계정 A_d444580218: CRITICAL 리스크 탐지 (P1:HIGH, P2:SUSPICIOUS, P3:HIGH)"
A_cab220ef3c,CRITICAL,HIGH,NORMAL,HIGH,34443866.53352949,False,2025-10-31 20:00:38.588185,"계정 A_cab220ef3c: CRITICAL 리스크 탐지 (P1:HIGH, P2:NORMAL, P3:HIGH)"
A_6b3a8b213d,CRITICAL,HIGH,HIGH,NO_REWARD,2392.7516738000086,False,2025-10-31 20:00:38.588185,"계정 A_6b3a8b213d: CRITICAL 리스크 탐지 (P1:HIGH, P2:HIGH, P3:NO_REWARD)"
A_853f70d58b,HIGH,SUSPICIOUS,HIGH,NORMAL,1321.059803542692,False,2025-10-31 20:00:38.588185,"계정 A_853f70d58b: HIGH 리스크 탐지 (P1:SUSPICIOUS, P2:HIGH, P3:NORMAL)"
A_e95b2c5030,HIGH,SUSPICIOUS,HIGH,NO_REWARD,4754.965024099971,False,2025-10-31 20:00:38.588185,"계정 A_e95b2c5030: HIGH 리스크 탐지 (P1:SUSPICIOUS, P2:HIGH, P3:NO_REWARD)"
A_e27beda014,HIGH,NORMAL,SUSPICIOUS,HIGH,1916.5488759439256,False,2025-10-31 20:00:38.588185,"계정 A_e27beda014: HIGH 리스크 탐지 (P1:NORMAL, P2:SUSPICIOUS, P3:HIGH)"
A_c91db6cabf,HIGH,NORMAL,NORMAL,HIGH,1483.3680841874989,False,2025-10-31 20:00:38.588185,"계정 A_c91db6cabf: HIGH 리스크 탐지 (P1:NORMAL, P2:NORMAL, P3:HIGH)"
A_c462ca9c6b,HIGH,NORMAL,SUSPICIOUS,HIGH,305160.6463723429,False,2025-10-31 20:00:38.588185,"계정 A_c462ca9c6b: HIGH 리스크 탐지 (P1:NORMAL, P2:SUSPICIOUS, P3:HIGH)"
A_7620582c70,HIGH,HIGH,NORMAL,NORMAL,108.94439970000305,False,2025-10-31 20:00:38.588185,"계정 A_7620582c70: HIGH 리스크 탐지 (P1:HIGH, P2:NORMAL, P3:NORMAL)"
A_26ffea8fd9,HIGH,NORMAL,SUSPICIOUS,HIGH,384756.897651765,False,2025-10-31 20:00:38.588185,"계정 A_26ffea8fd9: HIGH 리스크 탐지 (P1:NORMAL, P2:SUSPICIOUS, P3:HIGH)"
A_59b90616d6,HIGH,NORMAL,HIGH,NORMAL,4648.102150404276,False,2025-10-31 20:00:38.588185,"계정 A_59b90616d6: HIGH 리스크 탐지 (P1:NORMAL, P2:HIGH, P3:NORMAL)"
A_4943ad62b4,HIGH,NORMAL,SUSPICIOUS,HIGH,2225.810617454216,False,2025-10-31 20:00:38.588185,"계정 A_4943ad62b4: HIGH 리스크 탐지 (P1:NORMAL, P2:SUSPICIOUS, P3:HIGH)"
A_48fbd03d61,HIGH,NORMAL,SUSPICIOUS,HIGH,4596.837662006218,False,2025-10-31 20:00:38.588185,"계정 A_48fbd03d61: HIGH 리스크 탐지 (P1:NORMAL, P2:SUSPICIOUS, P3:HIGH)"
A_4081f88bb0,HIGH,NORMAL,SUSPICIOUS,HIGH,498337.174579808,False,2025-10-31 20:00:38.588185,"계정 A_4081f88bb0: HIGH 리스크 탐지 (P1:NORMAL, P2:SUSPICIOUS, P3:HIGH)"
A_3cfd9478f0,HIGH,NORMAL,HIGH,NO_REWARD,11.751866394271984,False,2025-10-31 20:00:38.588185,"계정 A_3cfd9478f0: HIGH 리스크 탐지 (P1:NORMAL, P2:HIGH, P3:NO_REWARD)"
A_2db64f326b,HIGH,HIGH,NORMAL,SUSPICIOUS,175662.30756371428,False,2025-10-31 20:00:38.588185,"계정 A_2db64f326b: HIGH 리스크 탐지 (P1:HIGH, P2:NORMAL, P3:SUSPICIOUS)"
A_27fd29fd55,HIGH,NORMAL,HIGH,NORMAL,384.3114751557724,False,2025-10-31 20:00:38.588185,"계정 A_27fd29fd55: HIGH 리스크 탐지 (P1:NORMAL, P2:HIGH, P3:NORMAL)"
A_f96ede8d34,HIGH,SUSPICIOUS,SUSPICIOUS,HIGH,55854.858025264795,False,2025-10-31 20:00:38.588185,"계정 A_f96ede8d34: HIGH 리스크 탐지 (P1:SUSPICIOUS, P2:SUSPICIOUS, P3:HIGH)"
