account_id,거래횟수,평균_레버리지,빠른거래_비율(%),거래종목수
A_e7205c325a,81,100.0,72.8395061728395,2
A_dcd87c6c96,84,98.82142857142857,72.61904761904762,2
A_853f70d58b,144,85.58333333333333,93.75,5
A_59b90616d6,737,83.05834464043419,76.52645861601086,23
A_3cfd9478f0,152,73.33552631578948,53.289473684210535,7
A_27fd29fd55,69,64.4927536231884,28.985507246376812,4
A_e95b2c5030,35,62.82857142857143,100.0,12
A_78e950c1a2,337,61.67359050445104,96.14243323442136,14
A_c668740478,522,48.628352490421456,36.015325670498086,3
A_9a5e1e7fac,1016,45.636811023622045,41.53543307086614,41
A_3cab2969e5,424,33.551886792452834,63.20754716981132,4
A_e8e9d04acc,530,31.183018867924527,68.86792452830188,3
A_7ba723a337,53,25.49056603773585,33.9622641509434,11
A_60a63690ae,643,23.003110419906687,32.19284603421462,71
A_9788666227,746,22.640750670241285,45.44235924932976,5
A_1f97e16953,96,19.885416666666668,83.33333333333334,25
A_3943c4c480,1849,19.274743104380747,34.775554353704706,9
A_5cd5d675fd,342,18.017543859649123,35.67251461988304,29
A_6b3a8b213d,18,14.38888888888889,100.0,11
A_d444580218,218,14.03211009174312,87.1559633027523,57
A_f96ede8d34,377,13.811671087533156,79.57559681697613,78
A_6960c2ee08,392,13.270408163265307,45.1530612244898,1
A_0bfb0b4311,2063,13.221037324285021,39.84488608822104,3
A_359a23d0bd,72,11.88888888888889,45.83333333333333,12
A_55021b4ae2,19,11.578947368421053,36.84210526315789,5
A_c91db6cabf,23,11.08695652173913,30.434782608695656,6
A_8413984c30,68,10.426470588235293,30.88235294117647,21
A_7e27164ab6,541,9.628465804066543,59.88909426987061,5
A_522c68dd44,660,8.315151515151515,39.84848484848485,17
A_0ad0445c5a,204,8.176470588235293,68.62745098039215,41
A_2db64f326b,183,6.081967213114754,39.34426229508197,25
A_7620582c70,81,5.0,100.0,1
A_ae270b7bf6,790,3.848101265822785,30.886075949367086,31
A_507a86d368,570,3.5807017543859647,48.94736842105264,15
A_f2ab53d645,1457,3.397391901166781,43.994509265614276,120
A_ace0a74506,534,2.432584269662921,89.70037453183521,5
A_3b4f58349f,88,1.6136363636363635,94.31818181818183,2
A_48fbd03d61,80,1.475,58.75,4
A_89cf7b96c2,384,1.0,82.8125,2
